shot_id,MatchId,goal,x,y,dist,angle,y_off,n_def_cone,n_def_3m,n_def_5m,d_def_min,n_att_box,n_def_box,shooter_speed,ball_z,ball_speed,gk_dist_goal,gk_dist_shot,gk_in_cone,gk_off_line,ev.EventId,ev.MatchId,setpiece_parent,outcome,xG,DistanceToGoal,AngleToGoal,Pressure,GoalDistanceGoalkeeper,AmountOfDefenders,PlayerSpeed,TypeOfShot,TakerBallControl,TakerSetup,BuildUp,ShotOrigin,InsideBox,CounterAttack,ChanceEvaluation,ShotCondition,AssistTypeShotAtGoal,SetupOrigin,ExtendedTypeOfShot,Player,Team
18226900000623,DFL-MAT-J03WN1,0,83.6,49.66,26.517835507446684,12.79441449603519,15.659999999999997,0,1,2,2.0048940121612415,3,4,14.7,0.0,15.58,2.363260459619292,24.201012375518516,1,0.4453380064403686,18226900000623,DFL-MAT-J03WN1,openPlay,ShotWide,0.019,26.52,12.79,0.82,1.61,0.0,14.7,rightLeg,dribblingMore10m,otherPassFromOpenPlay,passOpenPlay,7,0,0,chance,notComplicated,others,insideLeft,,DFL-OBJ-0028NB,DFL-CLU-00000S
18226900000659,DFL-MAT-J03WN1,0,81.85,41.07,24.205524162884807,16.488248279957325,7.07,1,0,1,3.7497733264825555,3,4,11.61,0.11,13.83,2.80978646875523,21.42550116099972,1,0.3837347184673814,18226900000659,DFL-MAT-J03WN1,openPlay,SavedShot,0.0379,24.21,16.49,0.32,2.55,1.0,11.61,leftLeg,controlShot,otherPassFromOpenPlay,passOpenPlay,8,0,0,chance,notComplicated,others,insideRight,,DFL-OBJ-0000YV,DFL-CLU-00000S
18226900000769,DFL-MAT-J03WN1,0,103.15,21.14,12.99238623194369,4.980129409065256,12.86,0,2,2,1.280624847486577,4,5,15.46,2.0,97.69,3.559901684035667,9.444278691355949,1,0.24683687374649815,18226900000769,DFL-MAT-J03WN1,openPlay,ShotWide,0.0358,12.99,4.98,0.71,0.75,1.0,15.46,rightLeg,dribblingLess10m,oppositionDefensiveAction,passOpenPlay,4,1,0,none,notComplicated,indirect,insideRight,,DFL-OBJ-002G02,DFL-CLU-00000B
18226900000878,DFL-MAT-J03WN1,0,86.45,28.979999999999997,19.217255267077032,20.88288792625664,5.020000000000003,6,0,0,8.464968989901847,7,10,8.23,0.14,58.94,1.0700467279516357,18.307006855299964,1,0.5489909903041363,18226900000878,DFL-MAT-J03WN1,FreeKick,BlockedShot,0.1065,19.22,20.88,0.0,1.03,8.0,8.23,rightLeg,setPiece,ownSetPiece,freeKick,8,0,0,chance,notComplicated,,insideRight,,DFL-OBJ-0002LI,DFL-CLU-00000B
18226900000899,DFL-MAT-J03WN1,0,98.66,25.67,10.468261555769422,25.756176522205408,8.329999999999998,0,3,3,1.1985407794480643,3,5,28.04,0.03,25.46,3.9685009764393384,6.540833280248017,1,0.44988367695153886,18226900000899,DFL-MAT-J03WN1,openPlay,ShotWoodWork,0.2279,10.47,25.76,0.63,2.03,1.0,28.04,rightLeg,dribblingLess10m,otherPassFromOpenPlay,passOpenPlay,3,1,0,chance,notComplicated,direct,insideRight,,DFL-OBJ-002GOI,DFL-CLU-00000B
18226900000951,DFL-MAT-J03WN1,0,98.35,43.34,11.465517868809945,22.40669873955653,9.340000000000003,0,2,4,1.2133424908079415,5,6,9.15,0.0,6.91,3.153173005085517,8.374270117449043,1,0.531175309278212,18226900000951,DFL-MAT-J03WN1,openPlay,BlockedShot,0.1041,11.47,22.41,0.96,1.37,1.0,9.15,leftLeg,dribblingLess10m,otherPassFromOpenPlay,passOpenPlay,2,1,0,chance,notComplicated,direct,left,,DFL-OBJ-0002LI,DFL-CLU-00000B
18226900001121,DFL-MAT-J03WN1,0,94.27,30.32,11.343513565029138,34.26780618904637,3.6799999999999997,1,0,1,4.111763611882373,2,3,20.34,0.0,35.68,3.0294719011735403,8.876361867341819,1,1.5492113531892993,18226900001121,DFL-MAT-J03WN1,openPlay,BlockedShot,0.2427,11.34,34.27,0.34,1.96,1.0,20.34,leftLeg,direct,otherPassFromOpenPlay,passOpenPlay,3,1,1,chance,notComplicated,direct,right,,DFL-OBJ-0000YV,DFL-CLU-00000S
18226900001209,DFL-MAT-J03WN1,1,89.16,43.7,18.574057176610612,19.272927473191423,9.700000000000003,0,1,2,2.0350184274349914,1,2,19.43,0.93,25.21,6.725689555725869,11.84890290280075,1,0.06777194600138894,18226900001209,DFL-MAT-J03WN1,openPlay,SuccessfulShot,0.1896,18.57,19.27,0.06,5.7,0.0,19.43,leftLeg,direct,otherPassFromOpenPlay,passOpenPlay,2,1,0,chance,notComplicated,direct,insideRight,,DFL-OBJ-000172,DFL-CLU-00000S
18226900001233,DFL-MAT-J03WN1,0,92.57,21.59,17.564538137964234,17.135045574845982,12.41,0,1,1,0.445982062419545,1,2,22.95,0.0,21.52,4.830372656431381,12.813918214191952,1,0.7463048499787868,18226900001233,DFL-MAT-J03WN1,openPlay,SavedShot,0.0679,17.56,17.14,0.74,2.86,1.0,22.95,rightLeg,direct,otherPassFromOpenPlay,passOpenPlay,4,1,1,chance,notComplicated,direct,right,,DFL-OBJ-J01AQV,DFL-CLU-00000S
18232100000016,DFL-MAT-J03WOH,0,99.72,41.72,9.352903292561086,27.55192345971387,7.719999999999999,0,1,2,2.214723459035011,7,10,3.95,2.05,73.88,1.6037767924496218,7.754953255823017,1,0.12436779934688227,18232100000016,DFL-MAT-J03WOH,openPlay,SavedShot,0.0325,9.35,27.55,0.95,0.8,2.0,3.95,head,volley,freeKick,freeKick,3,1,0,chance,complicated,direct,left,frontalVolley,DFL-OBJ-002G2Y,DFL-CLU-000011
