shot_id,match_id,goal,M0,M1,M2,REF
18237400001417,DFL-MAT-J03WPY,0,0.03249985304600456,0.043107470768162584,0.045754666899477645,0.089
18237400001436,DFL-MAT-J03WPY,0,0.036965594742046665,0.048713362937026126,0.034821302819138485,0.0923
18240200000048,DFL-MAT-J03WQQ,0,0.015607251577260518,0.017505525142216455,0.023954910371500816,0.0251
18240200000164,DFL-MAT-J03WQQ,0,0.014515695633456959,0.016161890647284738,0.017981014916926632,0.0375
18240200000195,DFL-MAT-J03WQQ,0,0.49881442624330385,0.6318400942243273,0.5785360948254307,0.1666
18240200000220,DFL-MAT-J03WQQ,0,0.1423704104438325,0.19214685444001248,0.18584955329217145,0.2479
18240200000224,DFL-MAT-J03WQQ,0,0.03690482129617327,0.0450526346244633,0.03196539487173435,0.0298
18240200000248,DFL-MAT-J03WQQ,0,0.05125174105517944,0.06447143894874349,0.07865261156025087,0.2628
18240200000251,DFL-MAT-J03WQQ,0,0.054242567286041446,0.06857274728599012,0.06765201979016874,0.0616
18240200000330,DFL-MAT-J03WQQ,0,0.026318611661523102,0.031101040425311508,0.027841127002486046,0.0245
18240200000386,DFL-MAT-J03WQQ,1,0.019315395673321824,0.022135266167405028,0.03296994542431207,0.0482
18240200000419,DFL-MAT-J03WQQ,0,0.1668708402558284,0.22636914848356396,0.2446365855962923,0.171
18240200000656,DFL-MAT-J03WQQ,0,0.061750115555802614,0.07892878289678433,0.08211423967653654,0.1153
18240200000706,DFL-MAT-J03WQQ,0,0.1060315597423978,0.14099065733612992,0.19950670486960712,0.2213
18240200000758,DFL-MAT-J03WQQ,0,0.020264630827122217,0.023334889712012034,0.019929601576732403,0.0365
18240200000762,DFL-MAT-J03WQQ,0,0.06845724518159375,0.08824159128306633,0.10215686200931796,0.0417
18240200000801,DFL-MAT-J03WQQ,0,0.026215709035064653,0.030967544457566557,0.026051486122713786,0.0324
18240200000922,DFL-MAT-J03WQQ,0,0.08345066320516087,0.10920745653747835,0.12403521959913259,0.1204
18240200000955,DFL-MAT-J03WQQ,0,0.03030328233563024,0.036304521757595395,0.038682489015841315,0.0401
18240200001036,DFL-MAT-J03WQQ,0,0.03572815229975737,0.04348307317418911,0.03569225340019285,0.047
18240200001060,DFL-MAT-J03WQQ,0,0.040219493087229455,0.049495315219199955,0.03906709364048684,0.0563
18240200001066,DFL-MAT-J03WQQ,0,0.05172781802777871,0.06512324900534047,0.06259166562240738,0.0861
18240200001075,DFL-MAT-J03WQQ,0,0.015614380309308278,0.01751433110548835,0.018422740117275804,0.0264
18240200001089,DFL-MAT-J03WQQ,0,0.09297023682697511,0.12258826188482004,0.09006072513907136,0.1405
18240200001210,DFL-MAT-J03WQQ,0,0.018922375397437834,0.02164019591234955,0.018048160886133615,0.0439
18240200001227,DFL-MAT-J03WQQ,0,0.0930087289072891,0.12264243759134245,0.11377041235172049,0.1353
18240200001444,DFL-MAT-J03WQQ,0,0.029904043200520935,0.03578031385469862,0.029594347896932795,0.0485
18240200001463,DFL-MAT-J03WQQ,0,0.009150237035123895,0.00971833733929642,0.012006946419111651,0.0226
18240200001478,DFL-MAT-J03WQQ,0,0.06372726094087042,0.08166869985307153,0.05076430315410972,0.046
18242100000110,DFL-MAT-J03WR9,0,0.0641811709360016,0.0774445895459989,0.1074827282809482,0.0823
18242100000112,DFL-MAT-J03WR9,0,0.032578666597714835,0.04046129073340198,0.03394784622050729,0.0525
18242100000118,DFL-MAT-J03WR9,0,0.09937038497478153,0.117396850143463,0.14492080543396904,0.2353
