shot_id,match_id,goal,DFL0,DFL1,DFL2,REF
18242100000112,DFL-MAT-J03WR9,0,0.10881681991906264,0.07384976608545257,0.0665655295731666,0.0525
18242100000118,DFL-MAT-J03WR9,0,0.2952302329440911,0.051232613769999956,0.0849150929457664,0.2353
18242100000216,DFL-MAT-J03WR9,1,0.09453068081720997,0.07800641751864476,0.07803816184221399,0.056
18242100000263,DFL-MAT-J03WR9,0,0.046959935856784735,0.025067474377454744,0.03041079380329745,0.0269
18242100000296,DFL-MAT-J03WR9,0,0.10124045924214464,0.10689825832955926,0.12608671046273523,0.0683
18242100000496,DFL-MAT-J03WR9,0,0.05826098118062088,0.03389073663761132,0.033598193982887783,0.0245
18242100000567,DFL-MAT-J03WR9,0,0.05544148311418829,0.05143954539506894,0.05562709641126274,0.019
18242100000653,DFL-MAT-J03WR9,0,0.08227069871506495,0.41098560409463386,0.3801763427974283,0.3421
18242100000680,DFL-MAT-J03WR9,0,0.038823801047663684,0.02371857955628311,0.02675077089039973,0.0237
18242100000699,DFL-MAT-J03WR9,0,0.05887300841173799,0.023991611312746203,0.018570680025358118,0.0186
18242100000746,DFL-MAT-J03WR9,0,0.07118312219527664,0.04697415512190066,0.033220213815103844,0.0221
18242100000750,DFL-MAT-J03WR9,0,0.07872968226538099,0.06212557118739349,0.05335283861703708,0.0617
18242100000756,DFL-MAT-J03WR9,0,0.08224469527248994,0.0713408657287278,0.048911733093004076,0.1443
18242100000767,DFL-MAT-J03WR9,0,0.05467882537184877,0.02112469555029275,0.01857878947418626,0.0224
18242100000805,DFL-MAT-J03WR9,1,0.21958384615430898,0.1798713919703928,0.12715843731511667,0.116
18242100000840,DFL-MAT-J03WR9,0,0.1082584914083476,0.06485469654111549,0.03854322943403416,0.0663
18242100000950,DFL-MAT-J03WR9,0,0.1450288653578619,0.11818802203090631,0.1299143078471971,0.0398
18242100001031,DFL-MAT-J03WR9,0,0.05295494456649257,0.03710752104591068,0.03956821271213717,0.0213
18242100001126,DFL-MAT-J03WR9,0,0.10876233497712388,0.09059823940299624,0.06933140990148742,0.0243
18242100001156,DFL-MAT-J03WR9,0,0.16667372951504097,0.04917961254499984,0.03852682900839847,0.0132
18242100001163,DFL-MAT-J03WR9,0,0.046590114893370206,0.010878056879306278,0.011918388649042285,0.0433
18242100001288,DFL-MAT-J03WR9,0,0.07743064373671447,0.04019228130967567,0.042561583853354956,0.0324
18242100001300,DFL-MAT-J03WR9,0,0.11428279603399952,0.11502811762824795,0.0988144564348536,0.1023
18242100001303,DFL-MAT-J03WR9,0,0.18323532458806813,0.11841174686273484,0.1124982183042206,0.0171
18242100001324,DFL-MAT-J03WR9,0,0.1678847238532435,0.05283379616222383,0.044215066749097746,0.0314
