shot_id,match_id,goal,ref_xg,split,A_LogReg,A_GBM,B_LogReg,B_GBM,C_LogReg,C_GBM,D_LogReg,D_GBM,P_LogReg,P_GBM
5f2c0a4c-b28d-4566-b981-143f90414d9e,265839,0,0.17814218,dev,0.11116394678510898,0.21878772219520987,0.1370728098960401,0.14263051457563558,0.20815413499689062,0.11478659263442721,0.2005739335429167,0.09450399428634318,0.1925728445802561,0.2654725106934783
89a04be6-6216-400b-bb20-0e5a00648267,265839,0,0.058455277,dev,0.10670091758161934,0.1085984015712882,0.10460224947166516,0.13383601175915494,0.06838978794199589,0.03347804775799557,0.06569821576696645,0.04553261795410722,0.0543105795736287,0.046227526245071364
aa11f794-5f85-403b-aa97-8700f34f75bf,265839,0,0.05036783,dev,0.059233824243062415,0.043522014221358866,0.05359349520343725,0.03403505373395031,0.06035211686103231,0.043617390680823626,0.05924591443056374,0.027214239330958987,0.051808612959771995,0.04229257235505479
6eb95748-fa04-4ce3-a3d2-6fda0f133f17,265839,0,0.08411409,dev,0.13448877686153105,0.1741782801142433,0.12278149078508072,0.13473108031595685,0.061836526240977074,0.05578037765733361,0.06497584424330473,0.06522917419976125,0.09584803333432027,0.06624272789563868
a093bff3-c7a9-45d7-a082-324c0fe1688e,265839,1,0.60040843,dev,0.5654477795879846,0.40046265964765787,0.6454585606042088,0.5854155854092568,0.7711562820502016,0.5037697685260171,0.7325418428275555,0.47275036652191094,0.7018662233272932,0.5029534853618419
8f565fe3-83a6-4333-9137-f405b4fef084,265839,0,0.2219417,dev,0.2619549475107273,0.2693848586657935,0.5241097307297855,0.49024834526669364,0.6315059679517517,0.5555815510789561,0.638624496875725,0.5510222277186845,0.285287410992596,0.288665484353163
58af3348-f694-4c6c-bae1-100045ec79be,265839,0,0.29583842,dev,0.3807631957788534,0.37099684951253886,0.39214639396697526,0.37295032416008883,0.5053113577759548,0.5181625573377332,0.5058731617379125,0.4423343526365608,0.48712623744822614,0.5560176269112352
16335c5d-6b5d-49cc-bbaa-ab56f8749c3c,265839,0,0.049691185,dev,0.038640283761744554,0.05173738006148205,0.036448253827599274,0.0357263328704133,0.03462991835439863,0.0310313215071851,0.03509194242060161,0.029762194955381443,0.026375874112941088,0.029318618101372203
6988c7d9-c1eb-422f-a6bd-ed978ed1b79a,265839,0,0.062141947,dev,0.048499117459186745,0.07550438258950107,0.06460602664407557,0.05473203469919044,0.04460979670171575,0.042505935895414834,0.0455162794195864,0.04364358735036226,0.045485009144758295,0.08185130124280333
ae9b49a7-f910-49a2-817f-87581b0d8ffb,265839,0,0.11445379,dev,0.1304876450491181,0.08011649602097706,0.1057513258512822,0.05068855997677184,0.10890715495287148,0.06440378185583827,0.11039862775649491,0.0665834794464351,0.10547368896114641,0.05992257496812884
5fd7ddd9-89aa-4c95-ab07-44f1e8a5f015,265839,0,0.105102785,dev,0.07456779802247483,0.1340366657616808,0.1124999479696666,0.1873260901792919,0.07807046572441219,0.08504790015131755,0.07993598318466942,0.10578831264671977,0.05678854348060604,0.04263746360431189
90e087af-8635-4bf0-b9cb-c859bdf4c59a,265839,0,0.031025404,dev,0.018630279056636157,0.015436354848617606,0.014265764722030349,0.013354036350256651,0.02035541171273256,0.02085654915054489,0.01997515797770444,0.02292029702255011,0.020966630204068207,0.012630933328432558
eee66594-7688-4a26-8417-67a4906298ec,265839,0,0.13179104,dev,0.35665095438579025,0.2989495659275934,0.4172428410000953,0.29713019292143544,0.3522536939003199,0.18488628352231506,0.3366650855314951,0.22260575504059932,0.29444804296748234,0.23522080344542767
6969b028-6e6e-4f8d-b638-cc4ab92cf33c,265839,0,0.47185755,dev,0.2178922902668804,0.19955689760254022,0.18628476115182774,0.2530844132118392,0.2603411388896029,0.5048863356167492,0.2600327036551264,0.5138985728990453,0.43089560043486996,0.652744123840615
51969e3b-b2e8-4247-b1fd-431aa22019ea,265839,0,0.06768157,dev,0.10588964500642617,0.12982551470004458,0.15013426841122965,0.16302929239242517,0.201034762619928,0.07568919275928963,0.21092361077798757,0.09507580288491942,0.09252153161024797,0.07001618933504088
a2a4a5c1-4259-467c-bd42-19054264e49b,265839,0,0.1168027,dev,0.12180005803320645,0.07776411476355602,0.07952379027217145,0.06933802444828222,0.04310446119922322,0.04574884723576342,0.04420067262824955,0.04853998125419243,0.045848793505208825,0.05268515613096988
57157b08-e53d-44cb-961b-42f17b2f0d33,265839,0,0.040225912,dev,0.05677410100476207,0.1384531138577382,0.043657934534701896,0.05092047150187625,0.030893882531897364,0.02921184140677084,0.03089849076594847,0.02698645791228682,0.030231240477733456,0.028848731214897477
54bddd7a-c020-46c2-8626-3b761cd27d1f,265894,0,0.07571788,dev,0.19886107206819262,0.175298561618258,0.37578597887077353,0.23848610615759802,0.1264947169242547,0.10277463448362173,0.12534749286981717,0.1288906295436018,0.08334336582634706,0.13279116178548425
97fbe520-719e-44eb-a32f-78b070d75ebb,265894,1,0.9133661,dev,0.9461830593356426,0.6650614353716938,0.9381667822352329,0.7133550697920317,0.9552001893608203,0.849043752668581,0.9525521451135438,0.8490975793298763,0.9387856114163988,0.8355074474004952
6e74b519-0934-47d9-b882-fee012bb1ebd,265894,0,0.060600106,dev,0.09923485614345881,0.16580267076700997,0.069540806063209,0.1414794062221601,0.03216887838230946,0.042370885458466456,0.03323715136155481,0.03593416862494836,0.08643985998444563,0.0468870625458737
3a87bd06-9f09-4e37-b1f2-95a92ea88f3d,265894,0,0.15145154,dev,0.0680304400097148,0.08007902090392985,0.09022132127371843,0.0956176071997553,0.1168559507732222,0.16932327090313148,0.12007232848657977,0.2015924870391112,0.10348788978335927,0.1327304169641433
36452438-ea9c-4493-a046-7f046e052667,265894,0,0.12100739,dev,0.1649055597885217,0.14392097883329646,0.12232406109596554,0.12034630885267437,0.0315644781168222,0.04823861199332749,0.03211704865720453,0.04790528485922236,0.03803382852532965,0.06474397579009976
f11d6535-fe2b-4726-a91a-971422777c50,265894,0,0.031101836,dev,0.016667857367430396,0.14377111818392918,0.011017924958671235,0.036871320661324924,0.008442961393707532,0.03817182534718543,0.008563391120080832,0.04000306188625584,0.016018986140080023,0.04262130033740377
072fff31-7c13-45eb-8bbf-6eda2cf14c6b,265894,0,0.06573531,dev,0.051024279226635154,0.0916962230996026,0.052024022549451085,0.06611480331745097,0.04162305678930428,0.06603538629631794,0.04264060480310572,0.06722512679554966,0.03832324592519644,0.09375683599244783
c90c52ae-781e-43e5-b9b9-b25c74d3be3b,265894,0,0.048216503,dev,0.018336533798929126,0.03293434439050973,0.01499319827701143,0.02074647394398816,0.018303684216885267,0.017600737458452514,0.019075630553511348,0.019997518865895406,0.03125046486376993,0.025069084490067436
68aac78f-6052-4d9a-a600-73229c8a0e60,265894,0,0.076546066,dev,0.04660134692121394,0.05409254991065887,0.045635970097353575,0.04426640549429435,0.042023559160253736,0.058372130775963614,0.0434108137539072,0.07289200060560125,0.09756493132915992,0.0800021626258945
ead102bd-e805-49b9-8377-feba3cb4adee,265894,1,0.12243083,dev,0.24998026270028598,0.5380173011689372,0.4309402693094227,0.5165818878096944,0.2606375296453999,0.33733529736785683,0.2646453402271306,0.385694305928313,0.1576702193265332,0.3568495793019165
ca3243cf-347b-40df-a491-847732fa1e72,265894,0,0.05689864,dev,0.04353194489964569,0.04028618904391061,0.019009619888573515,0.05515480851589977,0.022342922623281844,0.0317596058836876,0.02389473378223149,0.02714414037437674,0.0330533858917127,0.028520398732658814
989a18d9-6fd7-4abe-8cb2-a870a249f12c,265894,0,0.010448389,dev,0.027076882320630487,0.006998343106890797,0.02474024401106906,0.00856220660612829,0.018273285216524177,0.015753643749493562,0.017055014146781025,0.014871843953115218,0.017657672830068062,0.01348301430626229
c49dec9e-0f56-4335-a890-1ccbaeec5fe9,265894,0,0.097420625,dev,0.10116982373220003,0.15328429428253276,0.09395662496367076,0.14425224308419465,0.1652531261653846,0.0730464865899703,0.16193232245006084,0.08472869909796674,0.16138938480428525,0.09646193663388165
57b5c2c8-4623-461c-984c-48ab0290b583,265894,0,0.31566206,dev,0.7533876110293225,0.3670390463693834,0.6386705640489742,0.43129070950411674,0.3667236279310412,0.3462221422688224,0.31755212011560774,0.23448606911567124,0.30661350793979136,0.2736083768663919
68d1f08f-d7f3-4b3a-87ce-40499952cc52,265894,0,0.055730876,dev,0.06560651328099795,0.04588148273939922,0.06485712788942614,0.05915303736140552,0.061270243612884655,0.05213752854872123,0.06022669388518862,0.047094105565885905,0.052497066152393114,0.07152313105357652
69ad3992-efc9-4c97-ace2-8636b6955493,265894,0,0.03642713,dev,0.017436835836826654,0.045696073999011294,0.013843266788961148,0.06050824200661258,0.009515251408716622,0.021406473847120296,0.009225804377190396,0.02153351675613167,0.01781284546015126,0.023302734885469162
82b83f49-9e9b-4dcb-857c-fcb650fbf129,265894,1,0.23106429,dev,0.315635615724929,0.3225482895211763,0.2974568421400231,0.36540140233374824,0.3332996301142823,0.25743827219341436,0.3225592783551993,0.24771410139226974,0.3499417222431258,0.22849563959137958
654dc3e4-19a1-4838-98e1-395f3cf92515,265894,0,0.022669934,dev,0.01671058119941119,0.011520330287907502,0.014806570363775837,0.015362635805882052,0.01158137396662391,0.015056303763473982,0.01124176877332777,0.013093326446073542,0.01146865588712171,0.014321793073528431
