dist,angle,y_off,open_frac,open_frac_nogk,open_angle,gk_block_share,n_visible,n_opp_visible,has_gk,n_def_cone,n_def_3m,n_def_5m,d_def_min,n_corridor,d_corridor,gk_dist_goal,gk_dist_shot,gk_in_cone,gk_off_line,n_att_box,n_def_box,inside_box,shooter_speed,shooter_accel,ball_z,ball_speed,def_closing,orient,source,match_id,shot_id,goal,ref_xg,shot_type,body_part,is_head,is_fk,technique,play_pattern,under_pressure,minute,period,score_diff,dfl_dist,dfl_angle
22.827538194032222,13.919940310804634,15.02,0.7272727272727273,0.9008264462809917,10.123592953312462,0.17355371900826444,22,11,1,0,1,3,2.5462914208707503,1,2.4661266371122412,2.8049242414011877,20.076227235215278,1,0.5118028891549148,3,7,0,8.42,-3.96,0.0,11.63,3.3384100124953613,31.533670788316844,dfl,DFL-MAT-J03WN1,18226900000033,0,0.0239,openPlay,rightLeg,0,0,direct,passOpenPlay,,1.19075,,0,22.83,13.92
7.903398003390701,48.05825587426288,2.6099999999999994,0.8099173553719008,1.0,38.92321550146911,0.1900826446280992,21,10,1,0,1,1,1.7240939649566653,1,1.0168411101847832,3.0875556675143625,5.60404318327402,1,1.7142120381875834,1,3,1,20.62,-3.57,0.76,63.92,0.0009373375126999761,32.65099080365942,dfl,DFL-MAT-J03WN1,18226900000272,1,0.8438,openPlay,leftLeg,0,0,volley,crossOpenPlay,,17.186933333333332,,0,7.9,48.06
24.83965378180622,14.10476290377428,13.700000000000003,0.256198347107438,0.4132231404958678,3.613616942289278,0.15702479338842978,21,10,1,1,0,1,4.442938216991097,1,5.132607769814472,3.4177477964296856,21.571096402362127,1,0.9305202159029248,0,1,0,16.15,-3.64,0.0,16.47,1.0364475155767676,46.97605453967771,dfl,DFL-MAT-J03WN1,18226900000281,0,0.0405,openPlay,leftLeg,0,0,dribblingLess10m,passOpenPlay,,18.6774,,1,24.84,14.1
14.198204111788218,28.793313770446133,1.3900000000000006,0.5454545454545454,0.5867768595041323,15.705443874788799,0.04132231404958686,21,11,1,1,2,2,1.3136590120727583,3,0.9229124963149655,1.3917614738165418,12.837460808119335,1,0.2778238690571367,3,8,1,8.81,-1.69,0.12,3.99,2.7647108613083833,98.99355919047089,dfl,DFL-MAT-J03WN1,18226900000325,0,0.0448,openPlay,rightLeg,0,0,controlShot,passOpenPlay,,21.820266666666665,,-1,14.2,28.79
20.618809373967252,19.464990320348747,5.469999999999999,0.7024793388429752,0.7768595041322314,13.6737535308235,0.07438016528925617,21,11,1,1,0,1,4.726034278335271,1,11.042926672937659,2.0967832506007946,18.642682210454574,1,0.6664691326624324,3,6,0,15.5,-2.6,0.07,22.76,3.8931599791044746,18.790733038234624,dfl,DFL-MAT-J03WN1,18226900000380,0,0.0593,openPlay,rightLeg,0,0,direct,passOpenPlay,,25.924483333333335,,-1,20.62,19.46
10.499795236098647,30.488461372119918,7.039999999999999,0.0,0.0,0.0,0.0,21,10,1,1,2,5,0.8955445270895278,3,0.2836817226453562,2.5804263213662977,7.920107322505162,1,0.05361056928660664,4,8,1,6.15,-1.58,2.94,37.15,0.48209675791621703,0.7263225200247593,dfl,DFL-MAT-J03WN1,18226900000439,0,0.012,openPlay,head,1,0,volley,throwIn,,29.569383333333334,,1,10.5,30.49
14.581004766476143,17.230171448917748,11.89,0.7107438016528925,1.0,12.246237558734927,0.2892561983471075,21,10,1,0,1,1,1.247397290361014,1,0.8443451049618782,6.192002906976061,8.449153803784139,1,0.6549137149968695,0,1,1,25.32,-2.81,0.0,21.87,-0.22764499655945922,44.1449562935896,dfl,DFL-MAT-J03WN1,18226900000449,0,0.1869,openPlay,leftLeg,0,0,dribblingMore10m,passOpenPlay,,30.389866666666666,,1,14.58,17.23
11.286297001231183,31.30605297523426,6.140000000000001,0.8429752066115702,1.0,26.39022647499086,0.15702479338842978,21,10,1,0,1,4,2.4709512338368786,0,40.0,1.534438007871287,9.792578822761651,1,0.3270426074732387,5,9,1,19.92,-0.88,0.0,61.15,1.9522713274270658,26.75444504672419,dfl,DFL-MAT-J03WN1,18226900000478,1,0.1542,openPlay,rightLeg,0,0,volley,cornerKick,,32.75693333333333,,1,11.29,31.31
24.615127462599094,12.692265164524196,16.54,0.0,0.0,0.0,0.0,21,11,1,1,1,1,2.720827080135749,1,2.7177271416386355,1.7440183485273353,22.880098338949505,1,0.17049678115121863,2,5,0,8.74,-2.26,0.17,4.58,3.0558514952500846,45.999727781214986,dfl,DFL-MAT-J03WN1,18226900000500,0,0.0199,openPlay,rightLeg,0,0,dribblingLess10m,passOpenPlay,,34.755,,-2,24.62,12.69
26.517835507446684,12.79441449603519,15.659999999999997,0.8429752066115702,1.0,10.785374203269333,0.15702479338842978,21,10,1,0,1,2,2.0048940121612415,1,1.531331619754435,2.363260459619292,24.201012375518516,1,0.4453380064403686,3,4,0,14.7,-6.79,0.0,15.58,3.195887711479221,56.68261042251826,dfl,DFL-MAT-J03WN1,18226900000623,0,0.019,openPlay,rightLeg,0,0,dribblingMore10m,passOpenPlay,,41.55045,,2,26.52,12.79
